"uid","geo_unit_el","geo_unit","state_el","state","region_el","region","lat","long","population","map_value"
"EL242","Στερεά Ελλάδα","Central Greece","Περιφέρεια Στερεάς Ελλάδας και Εύβοιας","Central Greece","Π.Ε. Ευβοίας","Euboea","38.5236036","23.8584737",210815,
"EL243","Στερεά Ελλάδα","Central Greece","Περιφέρεια Στερεάς Ελλάδας και Εύβοιας","Central Greece","Π.Ε. Ευρυτανίας","Evrytania","39.0032334","21.7137694",20081,
"EL244","Στερεά Ελλάδα","Central Greece","Περιφέρεια Στερεάς Ελλάδας και Εύβοιας","Central Greece","Π.Ε. Φθιώτιδος","Phthiotis","38.999785","22.3337769",158231,"Ν. ΦΘΙΩΤΙΔΑΣ"
"EL245","Στερεά Ελλάδα","Central Greece","Περιφέρεια Στερεάς Ελλάδας και Εύβοιας","Central Greece","Π.Ε. Φωκίδας","Phocis","38.5598641","22.1430215",40343,
"EL251","Πελοπόννησος","Peloponnese","Περιφέρεια Πελοποννήσου","Peloponnese","Π.Ε. Αργολίδας","Argolis","37.6525404","22.858217",97044,
"EL252","Πελοπόννησος","Peloponnese","Περιφέρεια Πελοποννήσου","Peloponnese","Π.Ε. Αρκαδίας","Arcadia","37.5557825","22.3337769",86685,
"EL253","Πελοπόννησος","Peloponnese","Περιφέρεια Πελοποννήσου","Peloponnese","Π.Ε. Κορινθίας","Corinthia","38.0022977","22.5245093",145082,"Ν. ΚΟΡΙΝΘΟΥ"
"EL254","Πελοπόννησος","Peloponnese","Περιφέρεια Πελοποννήσου","Peloponnese","Π.Ε. Λακωνίας","Laconia","37.0299087","22.5245093",89138,
"EL255","Πελοπόννησος","Peloponnese","Περιφέρεια Πελοποννήσου","Peloponnese","Π.Ε. Μεσσηνίας","Messenia","37.1424653","21.9522491",159954,
"EL300","Αττική","Attica","Περιφέρεια Αττικής","Attica","Περιφέρεια Αττικής","Attica","38.0457568","23.8584737",3828434,"Ν. ΑΘΗΝΩΝ"
"EL411","Νησιά Αιγαίου Πελάγους","Aegean","Περιφέρεια Βορείου Αιγαίου","North Aegean","Ν. Λέσβου","Lesbos","39.2645095","26.2777073",103698,"Ν. Λέσβου"
"EL412","Νησιά Αιγαίου Πελάγους","Aegean","Περιφέρεια Βορείου Αιγαίου","North Aegean","Ν. Σάμου","Samos","37.7547857","26.9777701",42859,"Ν. Σάμου"
"EL413","Νησιά Αιγαίου Πελάγους","Aegean","Περιφέρεια Βορείου Αιγαίου","North Aegean","Ν. Χίου","Chios","38.3681824","26.1310056",52674,"Ν. Χίου"
"EL421","Νησιά Αιγαίου Πελάγους","Aegean","Περιφέρεια Νοτίου Αιγαίου","South Aegean","Ν. Δωδεκανήσου","Dodecanese","36.4029176","27.9285982",190988,"Ν. Δωδεκανήσου"
"EL422","Νησιά Αιγαίου Πελάγους","Aegean","Περιφέρεια Νοτίου Αιγαίου","South Aegean","Ν. Κυκλάδων","Cyclades","37.1548247","25.0687356",118027,"Ν. Κυκλάδων"
"EL431","Κρήτη","Crete","Περιφέρεια Κρήτης","Crete","Π.Ε. Ηρακλείου","Herakleion","35.3387352","25.1442126",305490,
"EL432","Κρήτη","Crete","Περιφέρεια Κρήτης","Crete","Π.Ε. Λασιθίου","Lasithi","35.0811693","25.7101789",75381,
"EL433","Κρήτη","Crete","Περιφέρεια Κρήτης","Crete","Π.Ε. Ρεθύμνης","Rethymno","35.3655545","24.4919838",85609,"Ν. ΡΕΘΥΜΝΟΥ"
"EL434","Κρήτη","Crete","Περιφέρεια Κρήτης","Crete","Π.Ε. Χανίων","Chania","35.5138298","24.0180367",156585,
