uid,geo_unit_el,geo_unit,state_el,state,region_el,region,lat,long,population,map_value,areaid
EL000,-,-,-,-,Χωρίς Γεωγραφικό Προσδιορισμό,No Location Provided,,,0,Χωρίς Γεωγραφικό Προσδιορισμό,
,Αττική,Attica,Περιφέρεια Αττικής,Attica,Π.Ε. Βορείου Τομέα Αθηνών,North Athens,38.047629,23.7816687,592490,,902
,Νησιά Αιγαίου Πελάγους,Aegean,Περιφέρεια Νοτίου Αιγαίου,South Aegean,Π.Ε. Πάρου,Paros,37.0651291,25.125568,14926,Ν. Κυκλάδων,1210
EL124,Μακεδονία,Macedonia,Περιφέρεια Κεντρικής Μακεδονίας,Central Macedonia,Π.Ε. Πέλλας,Pella,40.9148039,22.1430215,139680,,204
EL245,Στερεά Ελλάδα,Central Greece,Περιφέρεια Στερεάς Ελλάδας και Εύβοιας,Central Greece,Π.Ε. Φωκίδας,Phocis,38.5598641,22.1430215,40343,,805
EL244,Στερεά Ελλάδα,Central Greece,Περιφέρεια Στερεάς Ελλάδας και Εύβοιας,Central Greece,Π.Ε. Φθιώτιδος,Phthiotis,38.999785,22.3337769,158231,Π.Ε. ΦΘΙΩΤΙΔΑΣ,804
EL125,Μακεδονία,Macedonia,Περιφέρεια Κεντρικής Μακεδονίας,Central Macedonia,Π.Ε. Πιερίας,Pieria,40.2669099,22.4768287,126698,,205
,Αττική,Attica,Περιφέρεια Αττικής,Attica,Π.Ε. Πειραιώς,Piraeus,37.9461292,23.6298081,448997,,908
EL214,Ήπειρος,Epirus,Περιφέρεια Ηπείρου,Epirus,Π.Ε. Πρεβέζης,Preveza,38.9592649,20.7517155,57491,Π.Ε. ΠΡΕΒΕΖΑΣ,404
EL433,Κρήτη,Crete,Περιφέρεια Κρήτης,Crete,Π.Ε. Ρεθύμνης,Rethymno,35.3655545,24.4919838,85609,Π.Ε. ΡΕΘΥΜΝΟΥ,1303
,Νησιά Αιγαίου Πελάγους,Aegean,Περιφέρεια Νοτίου Αιγαίου,South Aegean,Π.Ε. Ρόδου,Rhodes,36.2672303,27.3425783,119830,Ν. Δωδεκανήσου,1211
EL113,Θράκη,Thrace,Περιφέρεια Ανατολικής Μακεδονίας Θράκης,East Macedonia-Thrace,Π.Ε. Ροδόπης,Rhodope,41.0795681,25.5681084,112039,,106
,Νησιά Αιγαίου Πελάγους,Aegean,Περιφέρεια Βορείου Αιγαίου,North Aegean,Π.Ε. Σάμου,Samos,37.7547857,26.9777701,32977,Ν. Σάμου,1104
EL412,Νησιά Αιγαίου Πελάγους,Aegean,Περιφέρεια Βορείου Αιγαίου,North Aegean,Ν. Σάμου,Samos,37.7547857,26.9777701,42859,Ν. Σάμου,
,Νησιά Αιγαίου Πελάγους,Aegean,Περιφέρεια Νοτίου Αιγαίου,South Aegean,Π.Ε. Θήρας,Santorini,36.4071487,25.3856117,18883,Ν. Κυκλάδων,1202
EL126,Μακεδονία,Macedonia,Περιφέρεια Κεντρικής Μακεδονίας,Central Macedonia,Π.Ε. Σερρών,Serres,41.0863854,23.5483819,176430,,206
